status	path	width	height	changedPixels	totalPixels	diffRatio	maxChannelDelta	comparison
M	tdesign-component/example/test/goldens/action_sheet_badge_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_badge_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_badge_list_opened_dark.png	375	812	1500	304500	0.00492611	1	example/test/goldens/action_sheet_badge_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_basic_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_basic_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_basic_list_opened_dark.png	375	812	1500	304500	0.00492611	1	example/test/goldens/action_sheet_basic_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_center_list_opened_dark.png	375	812	1125	304500	0.00369458	1	example/test/goldens/action_sheet_center_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_described_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_described_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_described_list_opened_dark.png	375	812	1125	304500	0.00369458	1	example/test/goldens/action_sheet_described_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_described_scroll_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_described_scroll_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_icon_list_opened_dark.png	375	812	1500	304500	0.00492611	1	example/test/goldens/action_sheet_icon_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_left_list_opened_dark.png	375	812	1125	304500	0.00369458	1	example/test/goldens/action_sheet_left_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_paged_grid_next_page_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_paged_grid_next_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_paged_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_paged_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_scroll_grid_opened_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_scroll_grid_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_scroll_grid_scrolled_dark.png	375	812	375	304500	0.00123153	1	example/test/goldens/action_sheet_scroll_grid_scrolled_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/action_sheet_status_list_opened_dark.png	375	812	1500	304500	0.00492611	1	example/test/goldens/action_sheet_status_list_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_circle_scrolled_dark.png	375	812	194067	304500	0.63733005	1	example/test/goldens/backtop_page_circle_scrolled_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_circle_scrolled_light.png	375	812	194124	304500	0.63751724	1	example/test/goldens/backtop_page_circle_scrolled_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_dark.png	375	812	103890	304500	0.34118227	1	example/test/goldens/backtop_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_half-round_scrolled_dark.png	375	812	194350	304500	0.63825944	1	example/test/goldens/backtop_page_half-round_scrolled_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_half-round_scrolled_light.png	375	812	194410	304500	0.63845649	1	example/test/goldens/backtop_page_half-round_scrolled_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/backtop_page_light.png	375	812	103908	304500	0.34124138	1	example/test/goldens/backtop_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/badge_page_dark.png	375	1511	11381	566625	0.02008559	1	example/test/goldens/badge_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/badge_page_light.png	375	1511	11248	566625	0.01985087	1	example/test/goldens/badge_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/button_page_dark.png	375	4420	1099235	1657500	0.66318854	241	example/test/goldens/button_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/button_page_light.png	375	4420	264547	1657500	0.15960603	255	example/test/goldens/button_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/calendar_page_dark.png	375	1833	1292	687375	0.00187961	76	example/test/goldens/calendar_page_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/calendar_page_light.png	375	1833	1282	687375	0.00186507	102	example/test/goldens/calendar_page_light-develop-diff-current.png
M	tdesign-component/example/test/goldens/calendar_range_opened_dark.png	375	812	595	304500	0.00195402	34	example/test/goldens/calendar_range_opened_dark-develop-diff-current.png
M	tdesign-component/example/test/goldens/calendar_range_opened_light.png	375	812	590	304500	0.00193760	47	example/test/goldens/calendar_range_opened_light-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_any_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_any_opened_dark-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_any_opened_light.png	375	812	49806	304500	0.16356650	255	example/test/goldens/cascader_any_opened_light-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_base_opened_dark.png	375	812	304500	304500	1.00000000	244	example/test/goldens/cascader_base_opened_dark-develop-diff-current.png
D	tdesign-component/example/test/goldens/cascader_base_opened_light.png	375	812	49806	304500	0.16356650	255	example/test/goldens/cascader_base_opened_light-develop-diff-current.png
